,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross
168,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
169,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
170,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
171,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
172,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
173,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
174,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
175,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
176,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
177,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
178,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
179,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
180,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
181,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
182,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
183,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
184,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
185,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
186,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
187,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
188,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
189,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
190,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
191,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
192,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
193,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
194,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
195,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
196,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
197,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
198,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
199,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
200,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
201,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
202,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
203,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
204,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
205,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
206,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
207,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
208,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
209,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
210,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
211,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
212,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
213,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
214,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
215,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
216,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
217,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
218,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
219,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
220,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
221,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
222,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
223,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
224,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
225,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
226,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
227,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
228,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
229,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
230,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
231,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
232,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
233,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
234,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
235,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
236,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
237,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
238,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
239,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
240,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
241,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
242,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
243,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
244,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
245,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
246,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
247,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
248,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
249,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
250,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
251,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
252,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
253,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
254,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
255,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
256,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
257,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
258,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
259,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
260,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
261,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
262,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
263,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
264,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
265,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
266,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
267,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
268,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
269,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
270,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
271,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
272,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
273,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
274,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
275,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
276,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
277,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
278,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
279,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
280,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
281,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
282,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
283,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
284,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
285,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
286,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
287,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
288,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
289,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
290,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
291,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
292,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
293,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
294,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
295,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
296,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
297,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
298,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
299,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
300,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
301,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
302,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
303,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
304,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
305,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
306,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
307,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
308,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
309,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
310,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
311,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
312,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
313,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
314,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
315,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
316,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
317,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
318,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
319,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
320,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
321,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
322,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
323,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
324,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
325,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
326,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
327,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
328,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
329,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
330,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
331,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
332,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
333,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
334,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
335,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
336,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
337,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
338,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
339,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
340,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
341,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
342,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
343,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
344,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
345,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
346,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
347,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
348,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
349,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
350,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
351,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
352,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
353,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
354,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
355,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
356,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
357,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
358,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
359,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
360,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
361,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
362,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
363,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
364,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
365,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
366,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
367,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
368,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
369,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
370,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
371,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
372,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
373,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
374,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
375,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
376,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
377,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
378,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
379,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
380,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
381,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
382,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
383,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
384,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
385,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
386,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
387,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
388,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
389,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
390,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
391,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
392,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
393,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
394,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
395,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
396,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
397,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
398,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
399,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
400,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
401,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
402,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
403,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
404,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
405,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
406,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
407,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
408,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
409,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
410,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
411,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
412,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
413,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
414,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
415,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
416,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
417,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
418,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
419,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
